1. animation;1. воодушевление
liveliness;живость
spirit;воодушевленность
high spirit;хорошее настроение
vivacity;живость
vigour;энергия
enthusiasm;энтузиазм
ardour;пыл
elation;восторг, радость
alacrity;рвение, живость
gaiety;веселость
activity;активность
2. bliss;2. блаженство
happiness;счастье
joy;радость
ecstasy;экстаз
delight;удовольствие
rapture;восторг
gladness;довольство
exhilaration;веселость
exaltation;восторг
jubilation;ликование
enjoyment;наслаждение
fun;веселье
entertainment;развлечение
felicity;счастье
luck;везенье, удача
merriment;веселье
relish;блаженство
3. content;3. довольство
contentment;довольство
satisfaction;удовлетворение
comfort;комфорт
peace of mind;спокойствие
pleasure;удовольствие
serenity;безмятежность
happiness;счастье
tranquility;покой
ease;облегчение
4. interest;4. интерес
absorption;увлеченность
engrossment;увлеченность
pursuit;стремление
avocation;призвание
hobby;хобби
