1. health;1. здоровье
good health;хорошее здоровье
healthfulness;здоровье
fitness;физическая форма
clean bill of health;справка о том, что здоров
vigour;энергия
vitality;энергия, жизнеспособность
2. illness;2. болезнь
sickness;болезнь
malady;болезнь, недуг
disease;болезнь
indisposition;недомогание
ailment;хворь, болезнь
infirmity;немощь, дряхлость
disability;нетрудоспособность
affliction;поражение, недуг
poor health;плохое здоровье
3. life;3. жизнь
lifetime;прожитое время
life-span;продолжительность жизни
life-expectancy;средняя продолжительность жизни
survival;выживание
longevity;долголетие
subsistence;существование
4. death;4. смерть
dying;смерть
demise;кончина
passing;кончина
loss of life;конец жизни, смерть
5. insanity;5. умопомешательство
mental illness;психическое заболевание
madness;сумасшествие
derangement;психическое расстройство
unsoundness;сумасшествие
aberrance;психическое расстройство
lunacy;сумасшествие
craziness;сумасшествие, безумие
dementia;слабоумие
mania;мания
schizophrenia;шизофрения
hallucination;галлюцинация
6. diagnosis ;6. диагноз 
identification of disease;установление болезни
specification of illness;определение болезни
determination from examination;результат обследования
conclusion from symptoms;вывод на основании симптомов
7. debility;7. слабость
weakness;слабость
infirmity;немощь, дряхлость
feebleness;слабость
frailty;хрупкость
invalidism;инвалидность
decrepitude;дряхлость
sickliness;болезненность
exhaustion;истощение
senility;старость, дряхлость
8. cripple;8. калека
lame person;хромой
the disabled;инвалид
invalid;инвалид
the handicapped;калека
impaired;калека
9. vigour;9. энергия, жизненная сила
energy;энергия
vitality;жизненная сила
drive;большая энергия
spirit;дух, моральная сила
strength;сила
robustness;сила, здоровье
stemina;запас жизненных сил, стойкость
foгсе;сила
