1. world;1. мир
universe;вселенная
cosmos;космос
nature;природа
physical world;физический мир
matter;материя
2. existence;2. существование
being;бытие
reality;реальность
actuality;действительность
subsistence;существование
3. medium;3. среда
environment;окружающая среда
atmosphere;атмосфера
ambience;среда
surroundings;среда, окружение
situation;ситуация
4. attribute;4. свойство
property;свойство
feature;отличительная характеристика
quality;качество, свойство
characteristic;характеристика
trait;характерная черта
5. colour;5. цвет
tint;цвет
hue;оттенок
shade;оттенок
tone;тон
tinge;оттенок, тон
pigment;краска, пигмент
paint;краска
dye;краситель
6. taste;6. вкус
flavour;вкус (приятный)
savour;привкус
relish;приятный вкус
tang;резкий привкус
7. smell;7. запах
odour;запах
scent;запах
perfume;аромат
fragrance;аромат
flavour;запах
tang;характерный запах
stench;зловоние
relish;приятный запах
aroma;аромат
8. sound;8. звук
noise;шум
voice;голос
chink;звяканье
clink;звон металла, стекла
jangle;звон
clank;звон, лязг
clang;лязг, звон
tinkle;звон,звяканье
ring;звон
peep;писк, чириканье
cheep;писк (птенцов)
chirp;чирикание
tweet;щебетание
twitter;щебетание
chirrup;чирикание
squeak;визг, крик
squall;вопль, визг
cry;крик
clamour;шум, крики
clash;лязг, гул
din;шум
hum;жужжание
whir;жужжание
drone;жужжание
jar;дребезжание
rattle;треск, грохот, дребезжание
buzz;гудение
9. silence;9. тишина
quiet;покой
noiselessness;беззвучность
soundlessness;беззвучность
stillness;тишина
calm;тишина
tranquility;спокойствие
serenity;безмятежность
placidness;безмятежность, покой
10. radiance;10. сияние
glow;свет
gleam;слабый свет, проблеск
gloss;блеск
sheen;блеск, сияние
sparkle;искра, искрение
luster;блеск
glitter;блеск
brightness;яркость
brilliance;блеск
luminosity;яркость света
glimmer;мерцание, проблеск
shimmer;мерцание
flicker;мерцание
ray;луч
beam;луч
flash;вспышка
