1. quality;1. качество
characteristic;характеристика
attribute;свойство
property;свойство
feature;особенность, свойство
nature;сущность, основное свойство
trait;отличительная черта
mark;признак, показатель
particularity;особенность
peculiarity;специфичность
2. quantity;2. количество
amount;количество
batch;порция, партия
sum;сумма
number;число, количество
lot;партия
measure;мера
size;размер
volume;объем
mass;масса
magnitude;величина, размеры
dose;доза
portion;порция
share;доля
quota;доля, квота
area;площадь
3. plenty;3. обилие, изобилие
abundance;изобилие
multitude;множество
profusion;изобилие
excess;избыток
plentitude;изобилие
lavishness;обилие, чрезмерность
a great deal;множество
exorbitance;чрезмерность
bounty;щедрость, изобилие
fullness;полнота
repletion;переполнение
oceans;море (чего-то)
maximum;максимум
4. accumulation;4. накопление
collection;коллекция, собирание
gathering;собирание
accretion;прирост, наращивание
acquiring;приобретение
hoarding;накопление
5. scarcity;5. нехватка
insufficiency;нехватка
shortage;нехватка
scantiness;скудность
lack;отсутствие, нехватка
dearth;нехватка
deficiency;дефицит, нехватка
want;недостаток (чего-то)
paucity;недостаточность
thinness;малочисленность
minimum;минимум
6. remainder;6. остаток
rest;остаток
remains;остатки
residue;остаток
left-overs;остатки
leavings;остатки
remnant;остаток
waste;остаток, отход
surplus;излишек, остаток
7. balance;7. равновесие
equilibrium;равновесие
stability;стабильность
equipoise;равновесие
equality;равенство
parity;паритет, равенство
8. difference;8. разница
dissimilarity;несходство
unlikeness;непохожесть
contrast;контраст
variation;отклонение
divergence;расхождение
contradiction;противоречие
discrepancy;различие, несходство
disparity;несоответствие
9. similarity;9. сходство
resemblance;сходство
likeness;сходство
correspondence;соответствие
kinship;сродство
similitude;сходство, похожесть
sameness;одинаковость, сходство
oneness;единообразие
equivalence;эквивалентность
congruity;согласованность
congruence;согласованность
harmony;гармония
identity;тождественность
10. appearance;10. внешность
look;внешний вид
aspect;облик
image;образ, проявление
11. structure;11. структура
make-up;состав, структура
conformation;форма, структура
framework;каркас
build;сложение
texture;структура
arrangement;расположение
plan;план
composition;состав
12. component;12. компонент
constituent;составная часть
ingredient;ингредиент
module;модуль
member;элемент конструкции
segment;сегмент, часть
part;часть
piece;деталь
item;деталь, позиция
element;элемент
detail;деталь
13. phenomenon;13. явление
natural event;явление
occurrence;происшествие
mode;способ
method;метод
19. condition;19. состояние
state;состояние
situation;ситуация
state of affairs;положение дел
circumstances;обстоятельства
status;положение, состояние
20. speed;20. скорость
velocity;скорость
rate;скорость, темп
swiftness;быстрота
rapidity;быстрота, стремительность
celerity;быстрота
quickness;быстрота
promptness;быстрота
dash;стремительное движение
haste;поспешность
hurry;поспешность
pace;скорость
21. weight;21. вес
mass;масса
gravity;сила тяжести
heaviness;тяжесть
tonnage;тоннаж
relative density;плотность
heft;вес, тяжесть
22. probability;22. вероятность
possibility;возможность
likelihood;вероятность
prospect;перспектива, вероятность
chance;вероятность, шанс
23. necessity;23. необходимость
need;надобность
urgency;срочная необходимость
demand;требование, необходимость
requirement;требование
exigency;необходимость
24. importance;24. важность
value;значительность
significance;значение, важность
weight;важность, вес
relevance;значение, уместность
worth;ценность
moment;важность, значение
essentialness;существенность
gravity;важность, серьезность
25. intensity;25. интенсивность
power;сила, интенсивность
strength;сила
depth;глубина
severity;тяжесть, степень
grade;степень
extent;степень, мера
