1. brave;1. храбрый
courageous;храбрый
valiant;доблестный
fearless;бесстрашный
dauntless;неустрашимый
undaunted;бесстрашный
intrepid;неустрашимый
unafraid;безбоязненный
daring;отважный, смелый
plucky;смелый
unflinching;непоколебимый
unshrinking;бесстрашный
unshakable;непоколебимый
2. cowardly;2. трусливый
faint-hearted;малодушный
uncourageous;трусливый
timorous;робкий
timid;боязливый, робкий
dastardly;трусливый, подлый
lily-livered;трусливый, малодушный
afraid;испытывающий страх
anxious;тревожный, неспокойный
nervous;нервный, опасающийся
3. prudent;3. разумный
sensible;благоразумный
careful;осторожный
judicious;рассудительный
expedient;целесообразный
sagacious;прозорливый
rational;рациональный
sane;разумный
thoughtful;вдумчивый
reflecting;рассудительный
discreet;благоразумный, тактичный
provident;предусмотрительный
4. imprudent;4. неразумный
thoughtless;бездумный
light-minded;легкомысленный
improvident;непредусмотрительный
irrational;нерациональный, нелогичный
careless;неосторожный
reckless;безрассудный
rash;опрометчивый, необдуманный
hasty;поспешный
impulsive;импульсивный
foolhardy;безрассудный
impetuous;опрометчивый, порывистый
adventurous;авантюрный
5. cautious;5. осторожный
vigilant;бдительный
attentive;внимательный
alert;бдительный, настороженный
watchful;бдительный, зоркий
cagey;осторожный
wary;осмотрительный
guarded;осторожный
6. proud;6. гордый
dignified;величавый, степенный
self-respecting;самолюбивый, с чувством собственного достоинства
independent;независимый
self-sufficient;самостоятельный
7. arrogant;7. высокомерный
haughty;высокомерный
boastful;хвастливый
conceited;самовлюбленный
vain;тщеславный
smug;самодовольный
self-praising;самовосхваляющийся
bragging;хвастливый
swollen;напыщенный
puffed up;напыщенный
assuming;высокомерный
showy;показной
8. modest;8. скромный
humble;скромный, покорный
meek;кроткий, смиренный
unassuming;скромный
unpretending;скромный
reserved;сдержанный
discreet;тактичный
simple;простой
unshowy;скромный, непоказной
9. shy;9. робкий
demure;застенчивый
coy;застенчивый/жеманный
diffident;застенчивый, стеснительный
prudish;застенчивый
bashful;стыдливый
blushing;краснеющий от стыда
ashamed;стыдящийся
embarrassed;смущенный
disconcerted;смущенный, в замешательстве
